dataset	top_base_model	top_base_test_pearson	ensemble_test_pearson	topsis_rank1	topsis_score
maize_FT	svr	0.7148143943978789	0.7338473792810596	svr	1.0
maize_HT	kernelridge	0.5224416287060865	0.49561919962302814	kernelridge	0.9961109472757109
maize_YLD	kernelridge	0.6148306951917273	0.6023206576026773	kernelridge	1.0
rice_FT	catboost	0.5163273345607639	0.5554928077274218	catboost	0.9554894446996393
rice_HT	rf	0.4038494290150503	0.4616244421280674	rf	0.9444579912375938
rice_YLD	catboost	0.2732913769966602	0.3360334753400444	svr	0.9894366135192997
sorghum_HT	svr	0.58601084588165	0.6070473577214653	svr	0.9785544947392476
sorghum_MO	kernelridge	0.5523259802968363	0.5403371252774787	kernelridge	1.0
sorghum_YLD	kernelridge	0.534569240054983	0.543954934081324	kernelridge	1.0
soy_HT	xgboost	0.44433159196102023	0.46023604955246833	kernelridge	0.9488188888633845
soy_R8	xgboost	0.4533289999960608	0.4685057955282954	kernelridge	0.9736014255931484
soy_YLD	xgboost	0.656568819752252	0.6746605157847146	kernelridge	0.998969440448804
spruce_DBH	kernelridge	0.3029974995435398	0.2907894336388291	kernelridge	1.0
spruce_DE	kernelridge	0.4104816427201953	0.42175908998052863	kernelridge	1.0
spruce_HT	kernelridge	0.35782979052008196	0.360973952270192	kernelridge	1.0
switchgrass_AN	svr	0.878342794594762	0.8951750421954405	svr	0.9756772130487992
switchgrass_HT	svr	0.5892341849285536	0.5926932842173559	svr	0.964026700098201
switchgrass_ST	svr	0.6767669806039062	0.683192683629453	svr	0.9870364276371217
